index,ts_us,length,channel,rssi,lqi,frame_type,seq,security,ack_request,pan_compression,dest_pan,dest_addr,src_pan,src_addr,payload_len,markers,parse_note
1,75629,123,25,-102,7,data,234,False,False,True,0xfb2f,0xffff,0xfb2f,0xfa68,114,signify_oui_reversed,
2,146200,123,25,-90,9,data,218,False,False,True,0xfb2f,0xffff,0xfb2f,0xdc60,114,signify_oui_reversed,
3,193156,123,25,-72,9,data,17,False,False,True,0xfb2f,0xffff,0xfb2f,0x4d3c,114,signify_oui_reversed,
4,362771,3,25,-59,9,ack,250,False,False,False,,,,,0,,
5,370032,54,25,-60,9,data,143,False,True,True,0xfb2f,0xd22a,0xfb2f,0x0c67,45,signify_oui_reversed,
6,370575,3,25,-110,5,ack,143,False,False,False,,,,,0,,
7,393767,3,25,-59,10,ack,251,False,False,False,,,,,0,,
8,399915,50,25,-59,9,data,144,False,True,True,0xfb2f,0xd22a,0xfb2f,0x0c67,41,signify_oui_reversed,
9,400457,3,25,-106,1,ack,144,False,False,False,,,,,0,,
10,572938,49,25,-62,10,data,44,False,False,True,0xfb2f,0xffff,0xfb2f,0xb733,40,signify_oui_reversed,
11,576942,49,25,-80,10,data,54,False,False,True,0xfb2f,0xffff,0xfb2f,0xd52f,40,signify_oui_reversed,
12,582038,49,25,-100,6,data,141,False,False,True,0xfb2f,0xffff,0xfb2f,0x975c,40,signify_oui_reversed,
13,591573,49,25,-74,9,data,220,False,False,True,0xfb2f,0xffff,0xfb2f,0x92fc,40,signify_oui_reversed,
14,599628,49,25,-74,8,data,52,False,False,True,0xfb2f,0xffff,0xfb2f,0x9a1a,40,signify_oui_reversed,
15,602054,49,25,-98,8,data,71,False,False,True,0xfb2f,0xffff,0xfb2f,0xf51f,40,signify_oui_reversed,
16,605636,49,25,-84,9,data,205,False,False,True,0xfb2f,0xffff,0xfb2f,0x09de,40,signify_oui_reversed,
17,617228,49,25,-76,9,data,144,False,False,True,0xfb2f,0xffff,0xfb2f,0x6530,40,"fc01_le,signify_oui_reversed",
18,626362,46,25,-91,9,data,88,False,False,True,0xfb2f,0xffff,0xfb2f,0x0003,37,signify_oui_reversed,
19,635066,46,25,-103,6,data,132,False,False,True,0xfb2f,0xffff,0xfb2f,0x30ae,37,signify_oui_reversed,
20,638853,46,25,-77,9,data,188,False,False,True,0xfb2f,0xffff,0xfb2f,0x7bb2,37,signify_oui_reversed,
21,641870,46,25,-71,9,data,43,False,False,True,0xfb2f,0xffff,0xfb2f,0x76f9,37,signify_oui_reversed,
22,650557,46,25,-100,7,data,142,False,False,True,0xfb2f,0xffff,0xfb2f,0x975c,37,signify_oui_reversed,
23,652699,46,25,-88,9,data,99,False,False,True,0xfb2f,0xffff,0xfb2f,0x411a,37,signify_oui_reversed,
24,663412,46,25,-102,8,data,236,False,False,True,0xfb2f,0xffff,0xfb2f,0xfa68,37,signify_oui_reversed,
25,665867,46,25,-73,9,data,18,False,False,True,0xfb2f,0xffff,0xfb2f,0x4d3c,37,signify_oui_reversed,
26,670569,123,25,-59,9,data,147,False,False,True,0xfb2f,0xffff,0xfb2f,0x0c67,114,signify_oui_reversed,
27,672803,46,25,-74,9,data,53,False,False,True,0xfb2f,0xffff,0xfb2f,0x9a1a,37,signify_oui_reversed,
28,676909,46,25,-60,9,data,148,False,False,True,0xfb2f,0xffff,0xfb2f,0x0c67,37,signify_oui_reversed,
29,679734,46,25,-62,10,data,95,False,False,True,0xfb2f,0xffff,0xfb2f,0xab54,37,signify_oui_reversed,
30,681957,46,25,-77,9,data,37,False,False,True,0xfb2f,0xffff,0xfb2f,0xe292,37,signify_oui_reversed,
31,685623,46,25,-60,9,data,40,False,False,True,0xfb2f,0xffff,0xfb2f,0xfc87,37,signify_oui_reversed,
32,688000,46,25,-96,9,data,55,False,False,True,0xfb2f,0xffff,0xfb2f,0x14c5,37,signify_oui_reversed,
33,692868,46,25,-65,10,data,176,False,False,True,0xfb2f,0xffff,0xfb2f,0xbff9,37,signify_oui_reversed,
34,1040379,49,25,-71,9,data,177,False,False,True,0xfb2f,0xffff,0xfb2f,0xe9ed,40,signify_oui_reversed,
35,1147370,46,25,-91,9,data,205,False,False,True,0xfb2f,0xffff,0xfb2f,0x51db,37,signify_oui_reversed,
36,1161613,46,25,-59,9,data,149,False,False,True,0xfb2f,0xffff,0xfb2f,0x0c67,37,signify_oui_reversed,
37,1377529,10,25,-86,9,mac_cmd,10,False,True,True,0xfb2f,0x9a1a,0xfb2f,0xda27,1,,
38,1378072,3,25,-73,8,ack,10,False,False,False,,,,,0,,
39,1504642,49,25,-71,9,data,178,False,False,True,0xfb2f,0xffff,0xfb2f,0xe9ed,40,signify_oui_reversed,
40,1590847,46,25,-91,9,data,206,False,False,True,0xfb2f,0xffff,0xfb2f,0x51db,37,signify_oui_reversed,
41,1592354,10,25,-94,9,mac_cmd,50,False,True,True,0xfb2f,0x975c,0xfb2f,0x31cb,1,,
42,1592896,3,25,-100,8,ack,50,False,False,False,,,,,0,,
43,1622054,10,25,-93,9,mac_cmd,105,False,True,True,0xfb2f,0x09de,0xfb2f,0x2d0e,1,,
44,1622597,3,25,-85,10,ack,105,False,False,False,,,,,0,,
45,1660719,46,25,-60,9,data,150,False,False,True,0xfb2f,0xffff,0xfb2f,0x0c67,37,signify_oui_reversed,
46,1838336,123,25,-86,10,data,100,False,False,True,0xfb2f,0xffff,0xfb2f,0x411a,114,signify_oui_reversed,
47,1978889,123,25,-76,9,data,189,False,False,True,0xfb2f,0xffff,0xfb2f,0x7bb2,114,signify_oui_reversed,
48,2501097,123,25,-62,10,data,250,False,False,True,0xfb2f,0xffff,0xfb2f,0x5ab9,114,signify_oui_reversed,
49,2650001,123,25,-59,9,data,40,False,False,True,0xfb2f,0xffff,0xfb2f,0xef71,114,signify_oui_reversed,
50,3808910,123,25,-63,10,data,96,False,False,True,0xfb2f,0xffff,0xfb2f,0xab54,114,signify_oui_reversed,
51,3840479,123,25,-86,9,data,207,False,False,True,0xfb2f,0xffff,0xfb2f,0x09de,114,signify_oui_reversed,
52,4050179,10,25,-101,7,mac_cmd,115,False,True,True,0xfb2f,0x09de,0xfb2f,0x2511,1,,
53,4050721,3,25,-85,10,ack,115,False,False,False,,,,,0,,
54,4275764,123,25,-103,6,data,143,False,False,True,0xfb2f,0xffff,0xfb2f,0x975c,114,signify_oui_reversed,
55,4310489,123,25,-81,9,data,55,False,False,True,0xfb2f,0xffff,0xfb2f,0xd52f,114,signify_oui_reversed,
56,4394434,10,25,-83,8,mac_cmd,62,False,True,True,0xfb2f,0x09de,0xfb2f,0xdc30,1,,
57,4394976,3,25,-85,10,ack,62,False,False,False,,,,,0,,
58,4409321,123,25,-63,9,data,191,False,False,True,0xfb2f,0xffff,0xfb2f,0xfbb6,114,signify_oui_reversed,
59,4718580,123,25,-61,10,data,45,False,False,True,0xfb2f,0xffff,0xfb2f,0xb733,114,signify_oui_reversed,
60,4775099,123,25,-83,9,data,211,False,False,True,0xfb2f,0xffff,0xfb2f,0x2067,114,signify_oui_reversed,
61,4979612,3,25,-90,9,ack,90,False,False,False,,,,,0,,
62,5255453,123,25,-88,9,data,235,False,False,True,0xfb2f,0xffff,0xfb2f,0xed3c,114,signify_oui_reversed,
63,5328536,123,25,-66,10,data,159,False,False,True,0xfb2f,0xffff,0xfb2f,0xeaf4,114,signify_oui_reversed,
64,5523878,123,25,-87,10,data,159,False,False,True,0xfb2f,0xffff,0xfb2f,0x8256,114,signify_oui_reversed,
65,5551499,46,25,-73,9,data,19,False,False,True,0xfb2f,0xffff,0xfb2f,0x4d3c,37,signify_oui_reversed,
66,5557227,46,25,-65,9,data,160,False,False,True,0xfb2f,0xffff,0xfb2f,0xeaf4,37,signify_oui_reversed,
67,5561961,46,25,-70,9,data,54,False,False,True,0xfb2f,0xffff,0xfb2f,0x9a1a,37,signify_oui_reversed,
68,5564287,46,25,-59,10,data,41,False,False,True,0xfb2f,0xffff,0xfb2f,0xef71,37,signify_oui_reversed,
