frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
1,0.000000000,,,,,,0xfa68,0xffff,,0xfa68,0xfffc,00:17:88:01:0c:5e:e3:23,,True,0x01,00:17:88:01:0c:5e:e3:23,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.070571000,,,,,,0xdc60,0xffff,,0xdc60,0xfffc,00:17:88:01:0c:94:0f:b8,,True,0x01,00:17:88:01:0c:94:0f:b8,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.117527000,,,,,,0x4d3c,0xffff,,0x4d3c,0xfffc,00:17:88:01:08:ac:21:9b,,True,0x01,00:17:88:01:08:ac:21:9b,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.287142000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.294403000,,,,,,0x0c67,0xd22a,,0x0001,0xd22a,,,True,0x01,00:17:88:01:0e:10:a0:98,HUE_ZIGBEE_NWK_KEY,0x00,64,11,0x0300,0x0104,,,,,77,0x00,,,,,,,,,,,,,,
6,0.294946000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.318138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.324286000,,,,,,0x0c67,0xd22a,,0x0001,0xd22a,,,True,0x01,00:17:88:01:0e:10:a0:98,HUE_ZIGBEE_NWK_KEY,0x00,64,11,0xfc03,0x0104,,,,0x100b,78,0x00,,0x0002,,,,,,,,,,,,
9,0.324828000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.497309000,,,,,,0xb733,0xffff,,0x0001,0xfffd,,,True,0x01,00:17:88:01:0b:e5:1c:99,HUE_ZIGBEE_NWK_KEY,0x00,242,242,0x0021,0xa1e0,,,,,119,,,,,,,,,,,,,,,
