index,ts_us,length,channel,rssi,lqi,frame_type,seq,security,ack_request,pan_compression,dest_pan,dest_addr,src_pan,src_addr,payload_len,markers,parse_note
1,150519,123,25,-61,9,data,182,False,False,True,0xfb2f,0xffff,0xfb2f,0xd938,114,signify_oui_reversed,
2,260502,123,25,-65,9,data,25,False,False,True,0xfb2f,0xffff,0xfb2f,0xdf07,114,signify_oui_reversed,
3,608166,10,25,-82,9,mac_cmd,152,False,True,True,0xfb2f,0x9a1a,0xfb2f,0xda27,1,,
4,608707,3,25,-71,9,ack,152,False,False,False,,,,,0,,
5,620977,53,25,-105,7,data,23,False,True,True,0xfb2f,0xcb7d,0xfb2f,0x0001,44,signify_oui_reversed,
6,621518,3,25,-77,10,ack,23,False,False,False,,,,,0,,
7,675674,45,25,-77,9,data,235,False,True,True,0xfb2f,0x0c67,0xfb2f,0xcb7d,36,signify_oui_reversed,
8,676215,3,25,-60,10,ack,235,False,False,False,,,,,0,,
9,680870,45,25,-60,10,data,80,False,True,True,0xfb2f,0x0001,0xfb2f,0x0c67,36,signify_oui_reversed,
10,681413,3,25,-106,7,ack,80,False,False,False,,,,,0,,
11,3396293,49,25,-61,9,data,10,False,False,True,0xfb2f,0xffff,0xfb2f,0xb733,40,signify_oui_reversed,
12,3398451,49,25,-75,10,data,146,False,False,True,0xfb2f,0xffff,0xfb2f,0x7bb2,40,signify_oui_reversed,
13,3404269,49,25,-87,9,data,57,False,False,True,0xfb2f,0xffff,0xfb2f,0x411a,40,signify_oui_reversed,
14,3408162,49,25,-71,8,data,11,False,False,True,0xfb2f,0xffff,0xfb2f,0x4d3c,40,signify_oui_reversed,
15,3410396,49,25,-83,9,data,96,False,False,True,0xfb2f,0xffff,0xfb2f,0x8256,40,signify_oui_reversed,
16,3414199,49,25,-69,9,data,154,False,False,True,0xfb2f,0xffff,0xfb2f,0xe9ed,40,signify_oui_reversed,
17,3418420,49,25,-76,10,data,47,False,False,True,0xfb2f,0xffff,0xfb2f,0x09de,40,signify_oui_reversed,
18,3422202,49,25,-82,9,data,26,False,False,True,0xfb2f,0xffff,0xfb2f,0xe292,40,signify_oui_reversed,
19,3425237,49,25,-84,10,data,230,False,False,True,0xfb2f,0xffff,0xfb2f,0xf51f,40,signify_oui_reversed,
20,3449600,46,25,-101,5,data,131,False,False,True,0xfb2f,0xffff,0xfb2f,0x1c2e,37,signify_oui_reversed,
21,3451955,46,25,-60,10,data,83,False,False,True,0xfb2f,0xffff,0xfb2f,0x0c67,37,signify_oui_reversed,
