frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
1,0.000000000,,,,,,0xd938,0xffff,,0xd938,0xfffc,00:17:88:01:0b:e5:d3:80,,True,0x01,00:17:88:01:0b:e5:d3:80,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.109983000,,,,,,0xdf07,0xffff,,0xdf07,0xfffc,00:17:88:01:0d:4d:b3:57,,True,0x01,00:17:88:01:0d:4d:b3:57,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.457647000,,,0x04,,,0xda27,0x9a1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.458188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.470458000,,,,,,0x0001,0xcb7d,,0x0001,0xcb7d,,,True,0x01,00:17:88:01:05:4f:59:f4,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
6,0.470999000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.525155000,,,,,,0xcb7d,0x0c67,,0xcb7d,0x0001,,,True,0x01,00:17:88:01:0b:89:54:2f,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
8,0.525696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.530351000,,,,,,0x0c67,0x0001,,0xcb7d,0x0001,,,True,0x01,00:17:88:01:0e:10:a0:98,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
10,0.530894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3.245774000,,,,,,0xb733,0xffff,,0x0001,0xfffd,,,True,0x01,00:17:88:01:0b:e5:1c:99,HUE_ZIGBEE_NWK_KEY,0x00,242,242,0x0021,0xa1e0,,,,,118,,,,,,,,,,,,,,,
12,3.247932000,,,,,,0x7bb2,0xffff,,0x0001,0xfffd,,,True,0x01,00:17:88:01:0d:17:a2:2e,HUE_ZIGBEE_NWK_KEY,0x00,242,242,0x0021,0xa1e0,,,,,118,,,,,,,,,,,,,,,
